,gps_height,longitude,latitude,basin,region,extraction_type_class,management_group,payment,quality_group,source_class,waterpoint_type_group,target
34430,0,33.21793807,-2.78000993,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34435,1144,33.40761038,-2.15306132,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
34438,0,33.61784899,-2.72626202,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
34439,1194,33.86649274,-1.54825441,Lake Victoria,Mara,other,user-group,never pay,good,surface,communal standpipe,0
34440,0,33.22380529,-2.71553902,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,1
34442,1179,33.08622505,-2.08484304,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
34444,0,32.98109869,-2.57789641,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
34448,0,33.68542257,-3.04342311,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
34454,1161,33.48351195,-2.04322672,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,1
34462,1252,33.83995308,-1.85403591,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,0
34465,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,good,groundwater,hand pump,1
34474,0,30.54482673,-2.56177805,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,communal standpipe,0
34476,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
34485,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
34526,0,31.75527713,-2.63990255,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
34527,1314,34.01080855,-2.98225741,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
34529,0,32.72183628,-2.57576569,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34568,0,30.92591432,-1.59188849,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
34575,0,32.83687563,-3.3221879,Lake Victoria,Shinyanga,manual,parastatal,never pay,good,groundwater,hand pump,0
34579,0,32.7383692,-2.82525659,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,0
34580,0,31.16549194,-1.41764608,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,0
34598,0,31.00142601,-1.75247301,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
34608,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
34610,0,33.48175423,-3.10686683,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
34613,0,30.5478495,-2.59522544,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,communal standpipe,0
34621,1191,32.93088996,-1.99011028,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
34624,0,33.12228278,-3.68582617,Lake Victoria,Shinyanga,other,user-group,never pay,good,groundwater,communal standpipe,0
34632,1480,34.60028286,-1.77185353,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
34637,1973,35.36893191,-1.95778896,Lake Victoria,Arusha,mechanical,user-group,never pay,good,groundwater,communal standpipe,1
34647,1290,32.99787276,-2.0726322,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
34653,0,33.88184113,-3.17594843,Lake Victoria,Shinyanga,other,user-group,other,good,surface,communal standpipe,0
34656,0,33.10450197,-2.43044385,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
34659,0,33.71098896,-2.6968012999999997,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34662,0,31.17465846,-1.58169261,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
34721,0,33.141197399999996,-2.843128,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34722,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
34746,0,33.77423453,-3.17799146,Lake Victoria,Shinyanga,other,commercial,other,good,surface,communal standpipe,0
34755,0,31.54599684,-1.55759409,Lake Victoria,Kagera,other,user-group,other,good,surface,communal standpipe,1
34761,0,33.37613521,-2.96118388,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
34767,0,33.46661006,-2.87219838,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34775,0,33.70593205,-3.08764537,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
34783,0,30.58139177,-2.43142253,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
34786,1151,32.87442063,-2.04883778,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34792,1286,33.82893299,-1.96682375,Lake Victoria,Mara,other,user-group,unknown,good,surface,communal standpipe,0
34793,0,31.70009005,-1.2139855,Lake Victoria,Kagera,mechanical,user-group,never pay,good,surface,communal standpipe,0
34804,0,31.71756968,-3.02132663,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
34819,1508,34.68898288,-1.73768128,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,0
34824,1178,33.70211509,-1.50020579,Lake Victoria,Mara,other,user-group,never pay,good,surface,communal standpipe,0
34836,0,31.00065939,-1.73529147,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
34837,1376,34.237631,-2.97375992,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
34839,0,31.4963148,-2.16713998,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,hand pump,0
34845,1322,34.03829368,-3.03065076,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
34852,1600,34.71300481,-1.83654407,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,1
34862,0,32.80580101,-2.49270601,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,1
34868,0,33.40267624,-3.18054757,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34877,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
34882,0,33.13167778,-2.40704306,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34883,1333,34.10535169,-2.89067516,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
34888,0,34.34451462,-3.0968039000000003,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
34896,0,31.59898353,-1.78071106,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
34907,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
34908,0,31.57080175,-2.65434333,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,0
34912,0,31.79783239,-1.33763194,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
34927,0,31.71589351,-2.43314916,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
34928,1632,34.75964713,-1.81919959,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,0
34932,0,33.16933163,-2.69367691,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
34940,0,0.0,-2e-08,Lake Victoria,Shinyanga,other,parastatal,unknown,good,surface,communal standpipe,0
34947,1460,34.06102964,-1.91536513,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
34968,1300,34.28782576,-1.69753302,Lake Victoria,Mara,manual,other,unknown,other,groundwater,hand pump,1
34971,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,1
34978,1367,33.96928338,-1.66444066,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,1
34985,0,0.0,-2e-08,Lake Victoria,Mwanza,other,parastatal,never pay,good,surface,communal standpipe,1
34991,1274,33.87040777,-1.72535668,Lake Victoria,Mara,other,parastatal,unknown,good,groundwater,communal standpipe,1
34996,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
34999,0,30.90657026,-1.39669706,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35001,1307,34.28701983,-1.69671803,Lake Victoria,Mara,manual,other,never pay,other,groundwater,hand pump,1
35005,0,31.54170722,-1.78377299,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
35006,1338,34.07856502,-2.90330682,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35013,1258,33.91773998,-1.62676885,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,1
35020,0,33.37257192,-2.68517442,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35023,0,32.96447773,-2.88065208,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
35024,0,30.69154596,-2.6983515,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
35029,1337,34.06409034,-2.99754712,Lake Victoria,Shinyanga,other,parastatal,never pay,good,surface,communal standpipe,0
35032,0,33.66111065,-2.68228637,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35045,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
35050,1280,34.4099872,-1.5931299,Lake Victoria,Mara,other,user-group,never pay,good,groundwater,communal standpipe,0
35058,0,33.12612628,-3.74722415,Lake Victoria,Shinyanga,other,user-group,other,good,groundwater,communal standpipe,0
35061,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
35071,0,33.08680517,-3.01188709,Lake Victoria,Mwanza,mechanical,user-group,never pay,unknown,groundwater,communal standpipe,1
35075,1211,34.46522494,-1.46668274,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,1
35085,1288,33.94470638,-1.97623779,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
35087,0,33.28633904,-3.1814182,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
35091,0,30.94298673,-1.02597281,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
35093,0,32.22548094,-2.48299936,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35108,0,31.59964188,-1.79145864,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35118,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,0
35148,0,30.672305699999995,-1.10756563,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
35169,0,33.42734502,-2.63011782,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
35174,0,31.48372518,-1.24102932,Lake Victoria,Kagera,manual,user-group,other,other,groundwater,hand pump,0
35190,1357,34.12210117,-2.94962669,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35193,0,33.05534919,-2.52533214,Lake Victoria,Mwanza,manual,user-group,never pay,good,surface,hand pump,1
35194,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35200,0,33.41956673,-2.60495351,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35206,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
35208,0,33.30701449,-2.91076126,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35212,0,31.47537806,-1.42508281,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
35215,0,33.47341418,-2.65507589,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35219,0,33.27556099,-2.57463558,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,1
35227,0,30.93822447,-1.61083994,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35230,0,33.17583179,-2.83565988,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
35251,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35261,0,31.17516377,-1.83966728,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
35265,0,31.03177491,-1.69883873,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
35268,0,31.16935668,-1.44234482,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
35273,0,34.30901092,-3.01896303,Lake Victoria,Shinyanga,manual,parastatal,never pay,good,groundwater,hand pump,1
35276,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
35282,0,33.01611432,-2.92464338,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
35294,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
35299,1366,34.01426714,-1.79407562,Lake Victoria,Mara,other,user-group,unknown,good,surface,communal standpipe,0
35302,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35306,0,32.91986139,-2.47667983,Lake Victoria,Mwanza,manual,commercial,other,other,groundwater,hand pump,1
35317,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
35321,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
35322,0,33.51706424,-3.13978662,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
35328,1435,34.38586049,-1.81022057,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
35331,0,33.41212696,-2.71972315,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35344,0,31.17627755,-1.5851449,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35345,0,33.40074251,-2.81626868,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,0
35355,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,0
35359,0,33.52023806,-2.73545254,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35360,0,31.52440507,-2.05393019,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
35373,0,33.4639259,-2.80547106,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35388,0,31.84371891,-1.30254339,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
35403,1208,33.03433936,-2.01956768,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
35411,0,32.90959736,-2.59152505,Lake Victoria,Mwanza,mechanical,user-group,other,good,surface,communal standpipe,1
35416,0,31.77817606,-2.77677138,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
35440,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,0
35456,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,1
35462,0,31.59969043,-1.85969708,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35464,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35472,0,33.42119717,-2.8240482000000005,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
35475,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35480,1982,35.43542557,-2.04260229,Lake Victoria,Arusha,other,parastatal,never pay,good,surface,communal standpipe,1
35483,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35493,0,30.95421827,-1.64805484,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35516,1605,34.67948828,-1.82923816,Lake Victoria,Mara,manual,other,other,good,groundwater,hand pump,0
35523,0,33.39425627,-2.86917833,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35524,0,30.69529951,-2.68965854,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
35552,0,33.58774617,-2.93926973,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
35556,0,34.1560261,-3.10492085,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
35559,0,34.0927452,-3.06974659,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
35560,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35574,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,groundwater,communal standpipe,0
35578,0,33.13508755,-2.71790659,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35579,0,33.09606968,-3.35486608,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,0
35586,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
35587,0,31.8459132,-1.11247122,Lake Victoria,Kagera,other,user-group,never pay,unknown,surface,communal standpipe,0
35595,1355,34.41316296,-1.7702848999999998,Lake Victoria,Mara,other,user-group,never pay,good,surface,hand pump,0
35600,1406,34.02898256,-1.90111882,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
35606,1622,34.71156951,-1.69133451,Lake Victoria,Mara,manual,other,never pay,good,surface,hand pump,0
35607,0,32.35387157,-2.50960622,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
35608,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35624,0,31.73987326,-2.93210196,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,0
35631,0,33.08173191,-3.31660157,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35635,0,31.63204585,-1.70455278,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
35639,0,30.60172068,-2.49749631,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35641,0,31.74026367,-1.47344135,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
35653,1180,34.03965491,-2.02964537,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,0
35654,0,30.65030472,-2.53921076,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
35655,0,33.01468107,-2.48560867,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35661,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,0
35663,0,32.97930147,-2.54492061,Lake Victoria,Mwanza,mechanical,user-group,other,good,surface,communal standpipe,1
35669,0,33.24842544,-2.77300229,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35674,0,32.9936827,-2.49454559,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
35675,1369,34.39162519,-1.77837389,Lake Victoria,Mara,other,user-group,never pay,good,groundwater,communal standpipe,1
35691,0,31.53453982,-1.80270645,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
35693,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
35696,0,30.740733799999997,-2.46097231,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,communal standpipe,0
35701,0,32.5513524,-3.65054926,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,1
35738,1219,33.49733247,-2.12234919,Lake Victoria,Mara,other,user-group,other,good,surface,communal standpipe,0
35741,0,33.48015939,-3.01551213,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35757,0,33.34351006,-3.05140008,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35759,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
35772,1622,34.67317798,-1.83905349,Lake Victoria,Mara,mechanical,other,never pay,good,surface,communal standpipe,1
35797,1190,34.51248299,-1.52278077,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,0
35799,0,31.76804788,-3.02807059,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
35805,0,33.25830972,-2.67127632,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35822,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,groundwater,hand pump,1
35825,0,31.51723541,-1.61870446,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35832,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
35836,0,32.11127455,-2.44330785,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35853,0,32.42902445,-2.58053537,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35879,0,31.55768702,-2.01290754,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35884,0,32.59931894,-3.71777386,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,1
35902,0,30.49657197,-2.90178504,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
35903,0,31.38620433,-1.42179598,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
35906,1300,34.28245854,-1.69103857,Lake Victoria,Mara,mechanical,user-group,never pay,other,groundwater,communal standpipe,0
35920,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,good,groundwater,hand pump,0
35923,1180,33.94333714,-1.43811763,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
35925,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,unknown,groundwater,hand pump,0
35930,1363,34.0041461,-1.80114797,Lake Victoria,Mara,other,user-group,unknown,good,surface,communal standpipe,0
35931,0,33.29905363,-3.06409508,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
35933,0,31.69289399,-2.52750449,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
35934,0,33.31899769,-2.96475708,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
35935,1866,35.33177897,-1.82296016,Lake Victoria,Arusha,other,user-group,never pay,good,groundwater,communal standpipe,0
35952,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
35963,0,32.89690444,-3.24804799,Lake Victoria,Mwanza,other,parastatal,other,good,surface,communal standpipe,1
35967,0,31.17068772,-1.55015836,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
35971,0,32.54424653,-3.77669224,Lake Victoria,Shinyanga,manual,unknown,unknown,other,groundwater,hand pump,1
35978,1424,34.40316223,-1.78681041,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
35985,1348,33.85829115,-1.97465969,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
35994,0,33.6395296,-3.16886969,Lake Victoria,Shinyanga,other,commercial,other,unknown,surface,communal standpipe,0
35995,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
36007,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
36010,0,33.61829029,-2.74063436,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
36015,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
36023,0,33.6602742,-2.68261216,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
36026,1398,34.39399205,-1.78722924,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
36035,0,33.25544578,-2.79639958,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
36036,0,31.5474811,-1.56354561,Lake Victoria,Kagera,other,user-group,other,good,surface,communal standpipe,0
36037,0,30.59599777,-2.74268421,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
36042,0,34.11120939,-3.10988975,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
36043,0,30.81827029,-1.28975676,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
36044,0,33.66224234,-3.17573867,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
36045,0,30.60698872,-2.61784269,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
36055,1428,34.08583137,-1.77479548,Lake Victoria,Mara,other,user-group,unknown,other,groundwater,communal standpipe,0
36068,0,30.65373378,-2.50924744,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
36077,1572,34.63289537,-1.87371992,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,1
36086,0,33.45878478,-2.72843596,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
36094,0,33.53138718,-2.97330601,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
36102,0,30.612162100000003,-2.48770416,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
36109,1146,33.02373599,-1.87435724,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
36116,0,30.62364257,-2.44837121,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
36119,0,31.15675813,-1.45067756,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
36121,0,33.28486514,-2.57387522,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
36122,0,32.78855509,-2.57364505,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
36123,0,31.60164866,-1.75796236,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
36128,0,32.56843658,-3.41938222,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
36133,1276,33.00766956,-2.04440785,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
36135,0,31.41896273,-1.23873361,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,0
36138,0,34.13502487,-3.07081706,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
36142,0,33.51431107,-2.97674405,Lake Victoria,Mwanza,mechanical,user-group,other,good,surface,communal standpipe,1
36144,0,30.57379577,-2.58592623,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,communal standpipe,0
36151,1157,33.56573858,-1.78903639,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
36165,1407,34.01829172,-1.90330761,Lake Victoria,Mara,other,user-group,other,good,groundwater,communal standpipe,0
36166,0,31.13118852,-1.81996285,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
36173,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
