,gps_height,longitude,latitude,region,lga,population,permit,extraction_type_class,management_group,payment,quality_group,quantity,source_class,waterpoint_type_group,target
30011,0,34.362623799999994,-2.98273952,Shinyanga,Meatu,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30014,0,30.97449908,-1.79543982,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
30021,0,33.30712096,-3.0223384,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30027,0,33.5231261,-2.95997748,Shinyanga,Maswa,0,False,gravity,user-group,never pay,good,seasonal,surface,communal standpipe,non functional
30032,0,34.38378235,-3.09091378,Shinyanga,Meatu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30037,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30043,0,33.01532063,-2.92708699,Mwanza,Missungwi,0,True,handpump,user-group,other,good,seasonal,groundwater,hand pump,functional
30066,0,30.81584112,-2.43767971,Kagera,Ngara,0,False,handpump,user-group,never pay,colored,dry,groundwater,hand pump,non functional
30073,0,32.95315858,-3.65719154,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,functional
30077,0,31.00547925,-1.72063347,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
30084,1677,34.50839482,-1.37627066,Mara,Tarime,4000,True,handpump,commercial,pay per bucket,good,enough,groundwater,hand pump,functional
30088,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
30090,1423,34.37831887,-2.93372355,Shinyanga,Bariadi,250,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30096,1359,34.01359977,-1.79711629,Mara,Musoma Rural,320,True,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
30124,0,31.77772826,-1.31012103,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,enough,surface,communal standpipe,functional
30125,0,30.96734724,-1.73099236,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
30126,0,30.99610084,-1.68185451,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
30128,0,34.24222803,-3.02534969,Shinyanga,Meatu,0,True,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,functional
30139,0,31.79456862,-1.40625485,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
30144,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
30149,0,31.5311749,-1.40187871,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,unknown,dry,groundwater,communal standpipe,non functional
30159,1204,33.79613021,-1.99291418,Mara,Bunda,540,False,handpump,user-group,pay monthly,salty,enough,groundwater,hand pump,non functional
30172,0,33.50365285,-2.67730531,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30175,0,33.41343025,-2.93813601,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30179,1375,33.99845944,-1.80744609,Mara,Musoma Rural,320,True,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
30230,1134,33.86636438,-1.53010401,Mara,Musoma Rural,250,True,handpump,user-group,unknown,salty,enough,groundwater,hand pump,functional
30236,0,33.04887157,-2.5669923,Mwanza,Magu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
30240,1267,33.87095333,-2.0022913,Mara,Bunda,1000,False,handpump,parastatal,unknown,salty,enough,groundwater,hand pump,functional
30250,0,0.0,-2e-08,Mwanza,Magu,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
30258,0,31.00668418,-1.70086285,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,seasonal,surface,communal standpipe,functional
30273,0,33.71750732,-2.7558693,Mwanza,Magu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
30276,0,31.58497045,-1.44682109,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
30279,0,30.71253593,-2.47798954,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
30286,0,32.75451657,-3.9266112,Shinyanga,Kahama,0,True,gravity,user-group,pay per bucket,good,enough,groundwater,communal standpipe,functional
30296,0,31.48010102,-1.40933818,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,unknown,dry,surface,communal standpipe,non functional
30304,0,31.50660989,-2.05887639,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
30309,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,functional
30314,1238,33.78988275,-1.82731429,Mara,Musoma Rural,250,True,handpump,user-group,unknown,salty,enough,groundwater,hand pump,functional
30323,0,30.46661236,-2.65903453,Kagera,Ngara,0,False,handpump,commercial,pay monthly,good,enough,groundwater,communal standpipe,functional
30331,0,31.60898904,-1.77493616,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
30337,0,34.22650034,-3.02332371,Shinyanga,Meatu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30341,0,32.92458641,-3.38787361,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30351,0,33.56077205,-2.91705756,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30353,0,31.588712800000003,-1.82623533,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
30354,1268,33.84538884,-1.85120654,Mara,Musoma Rural,250,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
30357,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,unknown,unknown,dry,surface,communal standpipe,non functional
30361,1143,33.07836167,-2.10251111,Mwanza,Ukerewe,850,True,handpump,user-group,pay monthly,good,insufficient,groundwater,hand pump,functional
30376,1632,34.66737872,-1.84095752,Mara,Serengeti,400,True,handpump,other,unknown,good,insufficient,groundwater,hand pump,functional
30377,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
30381,1235,33.05521035,-1.82348248,Mwanza,Ukerewe,1800,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
30393,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
30394,0,33.48261145,-2.7840588,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30409,0,31.66148424,-1.08735461,Kagera,Misenyi,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
30411,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,functional
30413,1271,33.98542896,-1.48695683,Mara,Rorya,400,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
30415,0,30.48282326,-2.82850459,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30417,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,parastatal,never pay,salty,insufficient,groundwater,hand pump,functional
30428,0,32.70489136,-2.55303942,Mwanza,Sengerema,0,False,other,user-group,never pay,good,enough,groundwater,hand pump,functional
30436,0,30.89585294,-1.47208007,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,surface,communal standpipe,non functional
30442,1579,34.66046738,-1.89443532,Mara,Serengeti,100,True,gravity,user-group,unknown,good,seasonal,surface,communal standpipe,functional
30457,0,31.77978213,-1.40666082,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,unknown,insufficient,groundwater,communal standpipe,non functional
30459,0,32.14779593,-2.44443933,Mwanza,Sengerema,0,False,handpump,commercial,never pay,good,insufficient,groundwater,hand pump,functional
30466,0,30.97193178,-1.1818878000000002,Kagera,Karagwe,0,True,other,user-group,never pay,good,dry,groundwater,hand pump,non functional
30481,0,32.66850178,-2.50635432,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30488,0,33.39543625,-2.64201225,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30492,1259,32.98478963,-2.49645868,Mwanza,Ilemela,900,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,non functional
30500,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
30503,1176,34.02545656,-1.14474911,Mara,Rorya,685,False,submersible,user-group,pay monthly,good,enough,surface,communal standpipe,non functional
30507,1944,35.41659706,-2.00621934,Arusha,Ngorongoro,170,False,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,functional
30510,0,31.55333393,-2.06700231,Kagera,Muleba,0,False,handpump,user-group,pay when scheme fails,good,insufficient,groundwater,hand pump,functional
30516,0,31.44604727,-1.70530816,Kagera,Muleba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30519,0,30.81494516,-1.40764907,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
30521,0,33.50607953,-3.28862392,Shinyanga,Kishapu,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
30526,0,30.93620718,-1.60412376,Kagera,Karagwe,0,True,gravity,other,never pay,good,seasonal,surface,communal standpipe,functional
30527,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
30532,0,30.59539308,-1.20905696,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
<<<<<<< HEAD
30533,0,31.739639500000006,-1.49774137,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
=======
30533,0,31.739639500000003,-1.49774137,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
30535,1293,34.36570127,-2.02238772,Mara,Serengeti,97,True,gravity,user-group,pay monthly,good,insufficient,groundwater,communal standpipe,functional
30550,0,31.62087384,-2.775698,Kagera,Biharamulo,0,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump,non functional
30563,0,32.80609361,-2.4927372,Mwanza,Sengerema,0,True,other,user-group,never pay,good,enough,surface,communal standpipe,non functional
30568,0,33.41081354,-2.74533121,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30571,0,31.67845649,-2.40625882,Kagera,Chato,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
30575,1252,34.25346057,-1.70566467,Mara,Serengeti,100,True,handpump,other,never pay,good,enough,groundwater,hand pump,functional
30582,1387,34.00127036,-1.85270517,Mara,Musoma Rural,350,False,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
30584,0,0.0,-2e-08,Mwanza,Geita,0,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,functional
30587,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
30607,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30609,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,pay when scheme fails,good,insufficient,groundwater,hand pump,non functional
30619,1314,34.02905489,-3.01689777,Shinyanga,Bariadi,500,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30620,1227,34.12833583,-1.98881484,Mara,Bunda,341,False,gravity,parastatal,unknown,good,enough,surface,communal standpipe,functional
30622,0,33.01050977,-2.48522658,Mwanza,Ilemela,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30634,0,31.59944051,-1.864616,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
30641,0,30.58078973,-2.50218341,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
30646,1820,34.60597465,-1.35176449,Mara,Tarime,1200,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
30648,0,30.73658945,-1.04456959,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
30650,1625,34.67222605,-1.84490548,Mara,Serengeti,100,True,handpump,other,never pay,good,insufficient,groundwater,hand pump,non functional
30655,1190,33.42404954,-1.87048324,Mara,Musoma Rural,350,True,gravity,user-group,pay monthly,good,enough,groundwater,communal standpipe,functional
30677,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30687,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,unknown,dry,surface,communal standpipe,non functional
30691,0,34.07578013,-3.12102573,Shinyanga,Maswa,0,False,handpump,user-group,other,good,insufficient,groundwater,hand pump,functional
30698,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,parastatal,never pay,salty,insufficient,groundwater,hand pump,non functional
30699,1219,32.92870834,-1.99429613,Mwanza,Ukerewe,200,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
30706,0,30.68527677,-2.47105056,Kagera,Ngara,0,False,rope pump,commercial,pay per bucket,good,insufficient,groundwater,communal standpipe,functional
30708,1187,32.91986139,-2.47667983,Mwanza,Ilemela,600,True,handpump,commercial,pay per bucket,salty,enough,groundwater,hand pump,functional
30710,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
30726,1255,33.79742619,-1.97138185,Mara,Bunda,500,False,handpump,user-group,pay monthly,salty,dry,groundwater,hand pump,non functional
30736,0,32.47653191,-2.52354451,Mwanza,Sengerema,0,True,motorpump,user-group,pay per bucket,good,enough,surface,communal standpipe,functional
30745,0,32.88214187,-3.41226741,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
30751,0,31.157909000000004,-1.44587918,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
30757,1390,34.26811599,-1.20305656,Mara,Tarime,380,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
30769,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,functional
30771,0,30.76834968,-1.41300775,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
30776,0,30.82475864,-1.06227544,Kagera,Karagwe,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
30781,1301,33.04840452,-2.05872976,Mwanza,Ukerewe,500,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
30784,0,33.72250603,-3.02619109,Shinyanga,Maswa,0,False,handpump,user-group,pay when scheme fails,good,enough,groundwater,hand pump,functional
30786,0,30.69764318,-1.25894743,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
30798,0,33.77907182,-3.11680308,Shinyanga,Maswa,0,False,gravity,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
30835,0,30.96025432,-2.82903549,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
30846,0,33.44494143,-2.80798029,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
30847,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30860,1617,34.67345132,-1.83467725,Mara,Serengeti,4000,True,submersible,other,pay per bucket,good,insufficient,surface,communal standpipe,functional
30870,0,30.48097965,-2.61244045,Kagera,Ngara,0,False,rope pump,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
30872,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
30884,0,30.68871493,-1.2718832,Kagera,Karagwe,0,True,gravity,other,never pay,good,enough,groundwater,communal standpipe,functional
<<<<<<< HEAD
30886,0,30.64954267,-2.5087823,Kagera,Ngara,0,False,gravity,commercial,pay per bucket,good,enough,groundwater,communal standpipe,non functional
=======
30886,0,30.64954267,-2.5087822999999996,Kagera,Ngara,0,False,gravity,commercial,pay per bucket,good,enough,groundwater,communal standpipe,non functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
30896,1210,33.97436207,-1.47539449,Mara,Rorya,2500,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
30903,1529,34.00908494,-1.72348087,Mara,Musoma Rural,320,False,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
30911,1182,33.53284072,-1.82533494,Mara,Musoma Rural,80,False,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,non functional
30936,0,31.59808218,-1.98159754,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,hand pump,non functional
30939,0,32.57280721,-2.76006041,Mwanza,Sengerema,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
30950,0,30.68949995,-1.28789904,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
30951,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
30953,0,33.32923377,-3.22528148,Mwanza,Kwimba,0,True,motorpump,user-group,pay per bucket,good,enough,groundwater,communal standpipe,functional
30964,0,32.44718949,-2.42055974,Mwanza,Sengerema,0,False,handpump,user-group,unknown,good,dry,groundwater,hand pump,functional
30968,0,32.98233291,-2.54375443,Mwanza,Magu,0,True,motorpump,user-group,pay per bucket,good,enough,surface,communal standpipe,functional
30975,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
30979,1187,33.86106226,-1.54153129,Mara,Musoma Rural,350,True,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
<<<<<<< HEAD
30985,0,33.62688657,-3.1101119,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
=======
30985,0,33.62688657,-3.1101118999999997,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
30989,0,30.46738594,-2.66802329,Kagera,Ngara,0,False,handpump,commercial,pay per bucket,good,enough,groundwater,communal standpipe,functional
30990,2013,35.36285227,-1.9583084,Arusha,Ngorongoro,225,False,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,non functional
30992,0,33.23890383,-2.52775332,Mwanza,Magu,0,True,other,user-group,never pay,salty,insufficient,groundwater,hand pump,non functional
30993,0,31.53724575,-1.78786832,Kagera,Muleba,0,True,submersible,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
31000,0,0.0,-2e-08,Mwanza,Geita,0,True,gravity,user-group,pay per bucket,good,insufficient,groundwater,communal standpipe,functional
31003,0,31.55370877,-1.63235454,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
<<<<<<< HEAD
31004,1857,35.51008179999999,-2.31911115,Arusha,Ngorongoro,110,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
=======
31004,1857,35.510081799999995,-2.31911115,Arusha,Ngorongoro,110,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
31011,0,33.08714861,-2.41489207,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
31022,1342,34.57477417,-1.6448748,Mara,Serengeti,100,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,non functional
31029,1160,33.07085334,-2.09827812,Mwanza,Ukerewe,242,True,gravity,other,unknown,good,insufficient,surface,communal standpipe,functional
31031,0,33.31592505,-3.11288137,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
31035,0,32.92500994,-3.41990943,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31038,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
31070,0,31.54272536,-1.66842149,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
31071,0,33.41693492,-2.70228319,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31079,0,31.52254456,-1.59358622,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
31084,1363,34.25196759,-1.20855239,Mara,Tarime,258,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
31090,0,30.79390822,-1.32790006,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31100,1586,34.65727286,-1.86054682,Mara,Serengeti,600,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
31101,0,33.00743178,-2.91938334,Mwanza,Missungwi,0,True,handpump,user-group,pay when scheme fails,good,seasonal,groundwater,hand pump,functional
31114,0,34.38520358,-3.00156506,Shinyanga,Meatu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
31118,1446,34.06641664,-1.75243332,Mara,Musoma Rural,320,True,handpump,user-group,unknown,unknown,unknown,groundwater,hand pump,non functional
31125,0,30.63251824,-2.55109478,Kagera,Ngara,0,False,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
31126,0,30.99707806,-1.69128833,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
31130,0,31.77832519,-1.30000091,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
31133,1182,33.04787904,-2.09276325,Mwanza,Ukerewe,350,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
31136,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,non functional
31142,0,31.63047846,-1.48139859,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
31153,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31184,0,31.77906762,-1.31743796,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional
31185,0,32.86802788,-2.72406998,Mwanza,Sengerema,0,True,motorpump,user-group,never pay,good,enough,surface,communal standpipe,functional
31186,0,32.98038783,-2.66240673,Mwanza,Missungwi,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
31203,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,unknown,enough,groundwater,hand pump,functional
31204,0,30.79799516,-2.46667876,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
31211,0,33.15491103,-2.90811812,Mwanza,Missungwi,0,True,handpump,user-group,never pay,unknown,unknown,groundwater,hand pump,functional
31213,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
31219,0,31.73795141,-1.34519542,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,unknown,dry,groundwater,communal standpipe,non functional
31220,1169,33.93555193,-1.37304367,Mara,Rorya,236,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
31227,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31229,1300,33.04731892,-2.05844575,Mwanza,Ukerewe,1,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
31230,1221,34.0978119,-1.12689505,Mara,Tarime,450,False,submersible,user-group,pay monthly,good,enough,surface,communal standpipe,non functional
31232,1332,34.110320200000004,-2.87763342,Shinyanga,Bariadi,500,False,handpump,user-group,never pay,salty,insufficient,groundwater,hand pump,non functional
31244,0,32.915389000000005,-2.59225383,Mwanza,Ilemela,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31264,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31269,0,31.56272663,-1.86433623,Kagera,Muleba,0,True,other,user-group,never pay,good,enough,groundwater,hand pump,non functional
31289,0,31.4670991,-2.78804714,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,enough,surface,communal standpipe,functional
31301,0,31.52161854,-1.60301894,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
31304,1409,34.68412523,-2.14645703,Mara,Serengeti,300,True,motorpump,user-group,never pay,salty,insufficient,groundwater,communal standpipe,non functional
31320,1317,34.03367802,-3.00451273,Shinyanga,Bariadi,1,False,handpump,user-group,never pay,unknown,dry,groundwater,hand pump,non functional
31332,0,33.59010712,-2.93701517,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
31339,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,salty,dry,groundwater,hand pump,non functional
31349,0,33.05370949,-2.55525684,Mwanza,Magu,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
31350,0,0.0,-2e-08,Mwanza,Magu,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
31369,1247,33.86667912,-1.74947578,Mara,Musoma Rural,250,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
31384,0,31.16287249,-1.78380653,Kagera,Karagwe,0,True,gravity,user-group,pay annually,good,enough,groundwater,communal standpipe,functional
31386,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
31388,0,0.0,-2e-08,Mwanza,Magu,0,True,motorpump,user-group,never pay,good,enough,surface,communal standpipe,functional
31391,0,31.1004766,-1.4379035,Kagera,Karagwe,0,True,gravity,other,pay per bucket,good,seasonal,surface,communal standpipe,functional
31400,0,31.46474063,-1.1939866,Kagera,Misenyi,0,True,handpump,user-group,pay monthly,good,insufficient,groundwater,hand pump,functional
31407,1382,34.26169484,-2.95594767,Shinyanga,Bariadi,500,False,handpump,user-group,other,good,enough,groundwater,hand pump,non functional
31408,0,30.65846538,-2.52382721,Kagera,Ngara,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
31409,1330,33.99650483,-2.99482961,Shinyanga,Bariadi,1300,False,gravity,parastatal,other,good,seasonal,surface,communal standpipe,functional
31413,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,salty,enough,groundwater,hand pump,non functional
31423,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
31425,0,31.48197402,-1.40498306,Kagera,Bukoba Rural,0,True,submersible,user-group,never pay,unknown,dry,groundwater,communal standpipe,non functional
31432,0,30.75063624,-2.40457639,Kagera,Ngara,0,False,rope pump,commercial,pay per bucket,good,insufficient,groundwater,communal standpipe,functional
31435,0,31.61296683,-1.82062425,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
